,song_id,song,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo
101,101,Two Princes,0.543,0.912,7.0,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731
102,102,Sorry,0.699,0.68,4.0,0.0276,0.00993,0.0,0.11,0.578,94.979
103,103,I Begin to Wonder,0.768,0.741,1.0,0.0423,0.0234,7.2e-05,0.242,0.95,125.06
104,104,iYiYi (feat. Flo Rida),0.629,0.721,5.0,0.0287,0.0395,0.0,0.349,0.787,159.951
105,105,This Is Tomorrow,0.421,0.66,8.0,0.0407,0.152,0.444,0.0948,0.512,119.46
106,106,Impossible,0.376,0.695,0.0,0.0933,0.135,0.0,0.11,0.302,169.533
107,107,Hello - Edited Version,0.653,0.845,4.0,0.0352,0.219,0.0,0.921,0.552,123.086
108,108,"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",0.216,0.544,5.0,0.0431,0.663,0.0,0.882,0.301,75.017
109,109,working,0.783,0.435,7.0,0.0588,0.282,0.0,0.0833,0.512,106.974
110,110,Love Me Like You,0.783,0.67,7.0,0.0432,0.199,0.0,0.274,0.842,106.05
111,111,death bed (coffee for your head),0.726,0.431,8.0,0.135,0.731,0.0,0.696,0.348,144.026
112,112,Borrow My Heart,0.571,0.714,11.0,0.0303,0.08,0.0,0.478,0.741,122.955
113,113,Always,0.648,0.72,11.0,0.05,0.00266,0.0,0.0717,0.594,108.012
114,114,Nasty Girl - Main,0.937,0.98,2.0,0.0473,0.0566,0.000373,0.0273,0.939,122.007
115,115,Always On Time,0.839,0.706,5.0,0.199,0.208,0.0,0.242,0.839,96.673
116,116,Cream - Without Rap Monologue,0.852,0.591,5.0,0.0675,0.103,0.421,0.0468,0.826,115.592
117,117,Love Action (I Believe In Love),0.702,0.588,0.0,0.0321,0.0805,0.0193,0.184,0.728,121.738
118,118,Never Gonna Fall in Love Again - Live,0.557,0.38,0.0,0.0259,0.776,0.0667,0.0989,0.569,99.83
119,119,You Should Hear How She Talks About You,0.753,0.834,4.0,0.115,0.212,2.93e-05,0.259,0.852,131.909
120,120,(Everything I Do) I Do It For You,0.52,0.363,1.0,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224
121,121,I've Gotta Get A Message To You,0.442,0.596,2.0,0.0281,0.037,4.46e-06,0.172,0.497,83.414
122,122,I Wish I Was a Punk Rocker (with Flowers in My Hair),0.7,0.465,4.0,0.358,0.544,0.0,0.606,0.719,108.102
123,123,Heart of Gold - 2017 Remaster,0.542,0.444,4.0,0.0295,0.212,0.0519,0.102,0.827,171.719
124,124,Shake Ya Tailfeather - Radio,0.715,0.733,1.0,0.262,0.134,0.0,0.157,0.897,87.665
125,125,Come Home with Me,0.706,0.719,2.0,0.0573,0.00706,0.0,0.0377,0.495,126.112
126,126,Drop the Boy,0.553,0.843,7.0,0.0489,0.00307,0.0,0.0818,0.834,177.113
127,127,See You Again (feat. Charlie Puth),0.689,0.481,10.0,0.0815,0.369,1.03e-06,0.0649,0.283,80.025
128,128,Now That We Found Love,0.744,0.697,8.0,0.0631,0.039,0.0,0.171,0.683,119.955
129,129,Call Out My Name,0.449,0.599,1.0,0.0369,0.211,0.0,0.327,0.165,134.144
130,130,Love Letters,0.379,0.494,10.0,0.0271,0.685,6.33e-06,0.204,0.231,142.342
131,131,Respect,0.805,0.558,0.0,0.041,0.164,2.2e-05,0.0546,0.965,114.95
132,132,"Doin' The Do - 7"" Radio Mix",0.801,0.961,10.0,0.0604,0.00765,7.7e-05,0.0639,0.909,120.378
133,133,Sweet Caroline,0.529,0.127,11.0,0.0274,0.611,0.000109,0.237,0.578,63.05
134,134,Call Me,0.56,0.825,2.0,0.0347,0.000785,0.00246,0.0892,0.74,142.669
135,135,Don't Take It Personal (Just One of Dem Days),0.731,0.355,8.0,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72
136,136,48 Crash,0.643,0.765,2.0,0.0933,0.00157,0.00977,0.169,0.868,137.979
137,137,My Hero,0.398,0.927,9.0,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106
138,138,50 Ways to Say Goodbye,0.591,0.935,6.0,0.0478,0.000284,0.000278,0.142,0.736,140.043
139,139,Counting Stars,0.662,0.71,1.0,0.0364,0.0603,0.0,0.119,0.465,121.979
140,140,House of the Rising Sun,0.254,0.761,7.0,0.0472,0.0006,0.0004,0.265,0.412,118.752
141,141,Do It Again,0.867,0.714,4.0,0.0662,0.0224,0.704,0.104,0.623,123.974
142,142,Together We Are Beautiful,0.761,0.484,10.0,0.0381,0.366,2.81e-05,0.189,0.826,110.45
143,143,Keep It Comin' Love,0.773,0.721,3.0,0.0294,0.232,1.61e-05,0.0349,0.971,110.383
144,144,Stay Awhile,0.558,0.268,11.0,0.0299,0.791,0.00488,0.0863,0.432,84.559
145,145,Me Myself & I,0.709,0.869,1.0,0.124,0.103,0.0,0.0769,0.773,99.906
146,146,Be the One,0.661,0.651,7.0,0.0499,0.117,1.32e-05,0.056,0.368,87.46
147,147,Don't You Worry Child - Radio Edit,0.612,0.84,11.0,0.0509,0.112,0.0,0.116,0.438,129.042
148,148,Private Idaho,0.551,0.882,2.0,0.0454,0.00724,1.13e-05,0.322,0.888,166.403
149,149,I Never Told You,0.498,0.634,3.0,0.0288,0.166,0.0,0.3,0.36,144.104
150,150,Saving All My Love For You,0.334,0.557,6.0,0.0496,0.155,1.66e-06,0.106,0.362,197.622
151,151,BLOW (with Chris Stapleton & Bruno Mars),0.631,0.796,1.0,0.0401,0.000245,0.0115,0.38,0.596,92.469
152,152,Wonderful,0.663,0.777,11.0,0.109,0.277,0.0,0.0466,0.758,92.681
153,153,Up/Down,0.69,0.883,1.0,0.322,0.0103,0.0,0.344,0.642,123.123
154,154,More Than This,0.653,0.666,6.0,0.0249,0.0508,0.0466,0.139,0.765,128.505
155,155,Every Time I Close My Eyes (with Kenny G),0.654,0.417,5.0,0.025,0.0624,0.0,0.0963,0.279,143.676
156,156,"Uptown Festival - 7"" Version",0.768,0.815,9.0,0.0355,0.175,0.0,0.065,0.907,125.393
157,157,Free,0.757,0.905,5.0,0.0338,0.00254,0.0012,0.0357,0.621,125.002
158,158,Have You Ever Really Loved A Woman?,0.569,0.472,7.0,0.0313,0.536,1.44e-05,0.1,0.346,145.513
159,159,Problem,0.66,0.805,1.0,0.153,0.0192,8.83e-06,0.159,0.625,103.008
160,160,No More Lonely Nights (Ballad),0.32,0.426,5.0,0.0644,0.0044,0.000319,0.64,0.429,175.895
161,161,Scars,0.384,0.921,11.0,0.055,0.0948,0.0,0.168,0.471,89.922
162,162,One Track Mind,0.571,0.636,10.0,0.0305,0.0222,0.0,0.0748,0.96,145.241
163,163,Cheap Wine - 2011 Remastered,0.681,0.889,0.0,0.0374,0.164,0.0,0.207,0.833,123.661
164,164,I'm Every Woman,0.665,0.847,5.0,0.0535,0.0178,0.00288,0.126,0.4,119.555
165,165,"Because I Got High - From ""Jay And Silent Bob Strike Back"" Soundtrack",0.799,0.314,7.0,0.512,0.164,0.0,0.158,0.842,166.064
166,166,Love is a Beautiful Song,0.405,0.517,0.0,0.0274,0.68,0.0,0.0918,0.325,102.678
167,167,You Belong To Me - JX Mix,0.724,0.804,1.0,0.0502,0.0559,0.0895,0.214,0.437,141.86
168,168,Blister in the Sun - 2002 Remastered Version,0.701,0.261,0.0,0.0938,0.219,0.0,0.0821,0.89,97.042
169,169,The Reaper,0.633,0.564,8.0,0.0701,0.135,0.0,0.201,0.648,164.008
170,170,Follow The Sun,0.507,0.833,1.0,0.035,0.0351,0.0,0.259,0.649,95.978
171,171,Ain't No Love (Ain't No Use) [feat. Melanie Williams],0.802,0.962,8.0,0.0415,0.00363,0.0794,0.312,0.966,127.035
172,172,Runaway Train (2022 Remaster),0.613,0.72,0.0,0.0425,0.0132,0.0,0.104,0.561,117.341
173,173,All I Want,0.604,0.622,7.0,0.0469,0.0943,0.00577,0.204,0.424,126.238
174,174,How Would You Feel (Paean),0.617,0.439,9.0,0.0269,0.424,0.0,0.127,0.242,139.979
175,175,Greatest Hits Megamix - Jewels & Stone Remix,0.497,0.883,7.0,0.0689,0.0365,0.0,0.927,0.61,101.994
176,176,This Is How We Do It,0.791,0.702,1.0,0.0623,0.0174,0.0,0.423,0.789,103.646
177,177,Mr. Bojangles - Remastered 2001,0.444,0.757,11.0,0.0541,0.699,0.0,0.329,0.554,154.26
178,178,San Francisco (Be Sure to Wear Flowers in Your Hair),0.569,0.428,7.0,0.0292,0.457,5.08e-06,0.105,0.617,113.168
179,179,I Forgot That You Existed,0.664,0.316,5.0,0.519,0.298,2.03e-06,0.0812,0.541,92.875
180,180,Versace on the Floor (Bruno Mars vs. David Guetta),0.747,0.701,2.0,0.0429,0.108,0.0,0.0712,0.589,100.012
181,181,Breakout,0.704,0.557,4.0,0.0316,0.175,0.00231,0.0631,0.777,113.194
182,182,Firestone,0.704,0.634,11.0,0.0428,0.393,3.17e-05,0.0952,0.411,113.927
183,183,Til Death - Denzal Park Radio Edit,0.696,0.699,4.0,0.0468,0.0374,0.00108,0.0485,0.967,127.988
184,184,The Time Warp,0.368,0.858,1.0,0.246,0.093,0.00267,0.0986,0.542,175.7
185,185,Scream,0.805,0.942,0.0,0.0905,0.0745,1.46e-05,0.415,0.608,106.525
186,186,AFTERGLOW,0.35,0.775,7.0,0.0417,0.00121,6.85e-05,0.198,0.467,148.982
187,187,I Dig Rock and Roll Music - 2004 Remaster,0.692,0.413,2.0,0.0422,0.118,0.0,0.305,0.744,121.77
188,188,Makes Me Wonder,0.803,0.851,7.0,0.0357,0.00485,0.000358,0.0577,0.881,113.996
189,189,Thunder,0.605,0.813,0.0,0.0448,0.00702,0.114,0.145,0.238,167.997
190,190,Same Old Love,0.672,0.593,11.0,0.0304,0.0223,0.0,0.214,0.438,98.02
191,191,(You Drive Me) Crazy,0.748,0.939,0.0,0.0341,0.0534,0.0,0.32,0.96,104.001
192,192,Free Loop,0.6,0.657,0.0,0.0336,0.503,0.00013,0.0816,0.678,75.331
193,193,Two Strong Hearts,0.61,0.78,2.0,0.0316,0.0212,0.0,0.309,0.841,109.856
194,194,Levels,0.429,0.671,5.0,0.446,0.0497,0.0,0.265,0.684,198.709
195,195,When You Believe - from The Prince of Egypt,0.43,0.428,1.0,0.031,0.528,0.0,0.12,0.155,125.218
196,196,Never Be The Same Again - Single Mix,0.739,0.709,7.0,0.068,0.00356,0.0,0.0848,0.558,81.001
197,197,Stole,0.649,0.718,7.0,0.0594,0.00676,4.26e-06,0.174,0.477,79.993
198,198,Before the Worst,0.586,0.928,8.0,0.0463,0.141,0.0,0.655,0.4,115.006
199,199,"That Sunday, That Summer",0.249,0.46,1.0,0.0406,0.755,0.0,0.395,0.462,82.495
200,200,Burn Your Name,0.423,0.92,0.0,0.039,0.000675,5.99e-06,0.187,0.26,126.51
201,201,Welcome To My World,0.374,0.772,3.0,0.271,0.104,0.0,0.111,0.637,159.149
202,202,fOoL fOr YoU,0.52,0.513,7.0,0.0256,0.281,0.0,0.0976,0.17,77.903
203,203,Lady Godiva - Mono; 2003 Remaster,0.607,0.488,5.0,0.0311,0.42,0.0,0.0609,0.838,124.601
204,204,Lean On (feat. MØ & DJ Snake),0.723,0.809,7.0,0.0625,0.00346,0.00123,0.565,0.274,98.007
205,205,You Found Me,0.366,0.791,8.0,0.0423,0.018,0.0,0.153,0.398,76.057
206,206,Higher Ground,0.716,0.85,8.0,0.0426,0.0631,0.00133,0.189,0.821,125.474
207,207,I Wanna Be the Only One (feat. Bebe Winans),0.627,0.768,6.0,0.0625,0.468,0.0,0.126,0.802,100.071
208,208,Rev It Up,0.723,0.722,9.0,0.0428,0.0184,0.0106,0.0665,0.917,95.262
209,209,Doggin' Around,0.568,0.367,5.0,0.0256,0.801,1.67e-05,0.059,0.383,94.096
210,210,New Rules,0.762,0.7,9.0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
211,211,It's Now or Never,0.631,0.426,4.0,0.0356,0.521,0.000258,0.512,0.781,126.156
212,212,Boys & Girls,0.789,0.625,0.0,0.041,0.00555,9.68e-06,0.069,0.902,131.005
213,213,Flowers,0.707,0.681,0.0,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999
214,214,Take Me,0.719,0.78,0.0,0.0465,0.167,0.044,0.104,0.461,124.04
215,215,We Can't Stop,0.613,0.622,1.0,0.0334,0.00882,0.0,0.37,0.484,80.003
216,216,THATS WHAT I WANT,0.737,0.846,1.0,0.22,0.00614,0.0,0.0486,0.546,87.981
217,217,Hurricane - Radio Edit,0.452,0.876,6.0,0.0518,0.0501,1.58e-05,0.309,0.275,125.994
218,218,Midnight Memories,0.432,0.868,6.0,0.0882,0.00725,0.0,0.233,0.567,156.128
219,219,Mama,0.524,0.417,2.0,0.0276,0.568,0.0389,0.15,0.549,95.116
220,220,When Something Is Wrong With My Baby,0.409,0.58,1.0,0.0369,0.0174,1.02e-05,0.0415,0.439,100.938
221,221,HIGHEST IN THE ROOM,0.598,0.427,7.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469
222,222,TiK ToK,0.755,0.832,2.0,0.116,0.0746,1.27e-06,0.291,0.735,120.032
223,223,Some Type of Love,0.706,0.589,2.0,0.08,0.353,0.0,0.105,0.399,90.491
224,224,California Dreamin' - Single Version,0.552,0.608,1.0,0.0345,0.352,0.0,0.0533,0.637,112.367
225,225,Mona,0.697,0.816,0.0,0.0316,0.00124,0.00117,0.252,0.751,102.981
226,226,Free Ride,0.674,0.686,2.0,0.0597,0.29,0.00322,0.189,0.814,124.204
227,227,Stay with Me,0.404,0.185,0.0,0.0512,0.891,0.0,0.103,0.147,75.342
228,228,Already Gone,0.329,0.356,4.0,0.0309,0.03,2.68e-06,0.135,0.531,161.436
229,229,Twist And Shout,0.802,0.82,2.0,0.0334,0.224,0.0,0.298,0.977,128.954
230,230,Flashing Lights,0.706,0.92,9.0,0.0451,0.0105,3.85e-06,0.171,0.786,119.972
231,231,Caught in the Middle,0.519,0.874,5.0,0.034,0.0524,0.0,0.243,0.572,96.072
232,232,Folsom Prison Blues,0.594,0.676,5.0,0.0528,0.0267,0.00541,0.905,0.898,110.71
233,233,Don't Go Breaking My Heart,0.729,0.844,5.0,0.0344,0.149,2.87e-06,0.0604,0.777,131.459
234,234,Always on My Mind,0.533,0.783,7.0,0.0366,0.0116,0.0565,0.186,0.726,124.874
235,235,Shake Your Bon-Bon,0.638,0.937,0.0,0.0444,0.0942,0.0,0.327,0.762,100.03
236,236,True Blue,0.534,0.269,5.0,0.0359,0.715,3.24e-06,0.11,0.499,108.886
237,237,Onionskin,0.516,0.922,0.0,0.0704,0.0213,1.3e-05,0.158,0.456,99.086
238,238,Brand New Key,0.667,0.412,1.0,0.0353,0.817,0.0,0.107,0.82,83.816
239,239,The Clapping Song,0.866,0.762,2.0,0.207,0.0712,0.000116,0.148,0.662,88.972
240,240,Ready for the Weekend,0.818,0.713,9.0,0.0375,0.126,3.2e-05,0.0382,0.937,137.969
241,241,Heal the World,0.545,0.485,9.0,0.0485,0.537,1.8e-06,0.104,0.101,80.948
