song_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_labels
114,0.937,0.98,0.0473,0.0566,0.000373,0.0273,0.939,122.007,9
115,0.839,0.706,0.199,0.208,0.0,0.242,0.839,96.673,1
116,0.852,0.591,0.0675,0.103,0.421,0.0468,0.826,115.592,9
117,0.702,0.588,0.0321,0.0805,0.0193,0.184,0.728,121.738,9
118,0.557,0.38,0.0259,0.776,0.0667,0.0989,0.569,99.83,1
119,0.753,0.834,0.115,0.212,2.93e-05,0.259,0.852,131.909,8
120,0.52,0.363,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224,2
121,0.442,0.596,0.0281,0.037,4.46e-06,0.172,0.497,83.414,4
122,0.7,0.465,0.358,0.544,0.0,0.606,0.719,108.102,5
123,0.542,0.444,0.0295,0.212,0.0519,0.102,0.827,171.719,7
124,0.715,0.733,0.262,0.134,0.0,0.157,0.897,87.665,1
125,0.706,0.719,0.0573,0.00706,0.0,0.0377,0.495,126.112,2
126,0.553,0.843,0.0489,0.00307,0.0,0.0818,0.834,177.113,7
127,0.689,0.481,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4
128,0.744,0.697,0.0631,0.039,0.0,0.171,0.683,119.955,9
129,0.449,0.599,0.0369,0.211,0.0,0.327,0.165,134.144,8
130,0.379,0.494,0.0271,0.685,6.33e-06,0.204,0.231,142.342,0
131,0.805,0.558,0.041,0.164,2.2e-05,0.0546,0.965,114.95,9
132,0.801,0.961,0.0604,0.00765,7.7e-05,0.0639,0.909,120.378,9
133,0.529,0.127,0.0274,0.611,0.000109,0.237,0.578,63.05,4
134,0.56,0.825,0.0347,0.000785,0.00246,0.0892,0.74,142.669,0
135,0.731,0.355,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72,7
136,0.643,0.765,0.0933,0.00157,0.00977,0.169,0.868,137.979,8
137,0.398,0.927,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,4
138,0.591,0.935,0.0478,0.000284,0.000278,0.142,0.736,140.043,8
139,0.662,0.71,0.0364,0.0603,0.0,0.119,0.465,121.979,9
140,0.254,0.761,0.0472,0.0006,0.0004,0.265,0.412,118.752,9
141,0.867,0.714,0.0662,0.0224,0.704,0.104,0.623,123.974,2
142,0.761,0.484,0.0381,0.366,2.81e-05,0.189,0.826,110.45,5
143,0.773,0.721,0.0294,0.232,1.61e-05,0.0349,0.971,110.383,5
144,0.558,0.268,0.0299,0.791,0.00488,0.0863,0.432,84.559,4
145,0.709,0.869,0.124,0.103,0.0,0.0769,0.773,99.906,1
146,0.661,0.651,0.0499,0.117,1.32e-05,0.056,0.368,87.46,1
147,0.612,0.84,0.0509,0.112,0.0,0.116,0.438,129.042,2
